Name,NAV,Dollar Change,Percent Change,1 year,3 year,5 year,10 year,Risk_Profile,Annulized return
Canadian Disciplined EquitySr. B (ISC 224),43.4923,-0.1456,0.33,9.33,6.1,5.2,6.92,Medium,9.39
Canadian Disciplined Equity ClassSr. B (ISC 296),33.4751,-0.1122,0.33,9.32,6.08,5.19,6.89,Medium,7.92
Canadian Growth CompanySr. B (ISC 265),64.6111,-1.2973,1.97,-3.19,9.02,11.11,12.95,Medium,10.98
Canadian Growth Company ClassSr. B (ISC 254),48.5219,-0.9751,1.97,-3.21,9,11.11,12.89,Medium,9.49
Canadian High Dividend Index ETFSr. B (ISC 4086),10.2636,-0.0516,0.5,7.31,0,0,0,Medium,6.37
Canadian High Dividend Index ETFTicker FCCD,26.0882,0.0036,0.01,8.97,0,0,0,Medium,8.54
Canadian High Quality Index ETFSr. B (ISC 6533),10.4516,0.0865,0.83,0,0,0,0,Medium,0
Canadian High Quality Index ETFTicker FCCQ,26.2505,-0.0719,0.27,0,0,0,0,Medium,0
Canadian Large CapSr. B (ISC 231),44.296,-0.0777,0.18,8.65,3.13,4.91,10.29,Medium,9.03
Canadian Large Cap ClassSr. B (ISC 468),19.9126,-0.035,0.18,8.63,3.11,4.9,0,Medium,9.78
Canadian Low Volatility Index ETFSr. B (ISC 6518),11.0846,0.0075,0.07,0,0,0,0,Medium,0
Canadian Low Volatility Index ETFTicker FCCL,28.03,-0.0469,0.17,0,0,0,0,Medium,0
Canadian OpportunitiesSr. B (ISC 215),23.5263,-0.0742,0.31,13.66,6.88,7.35,8.71,Medium,8.05
Canadian Opportunities ClassSr. B (ISC 276),30.8391,-0.0974,0.31,13.65,6.87,7.35,8.67,Medium,8.42
DividendSr. B (ISC 221),18.4774,0.0054,0.03,9.49,4.64,5.28,7.09,Medium,7.41
Dividend ClassSr. B (ISC 1220),14.8291,0.0044,0.03,9.47,4.62,5.27,7.07,Medium,5.44
Dividend PlusSr. B (ISC 223),19.1376,0.0033,0.02,13.16,4.33,5.94,9.06,Medium,9.31
Dividend Plus ClassSr. B (ISC 1432),13.7866,0.0024,0.02,13.14,4.3,5.91,0,Medium,6.51
Greater CanadaSr. B (ISC 1246),13.349,-0.0536,0.4,14.45,6.94,8.9,9.2,Medium,6.18
Greater Canada ClassSr. B (ISC 1276),18.591,-0.0746,0.4,14.49,6.98,8.92,9.23,Medium,6.19
Special SituationsSr. B (ISC 1298),29.9886,-0.7129,2.32,-3.47,9.03,10.67,12.72,Medium,12.7
Special Situations ClassSr. B (ISC 1288),27.4402,-0.6525,2.32,-3.5,9.01,10.65,12.71,Medium,10.13
True NorthSr. B (ISC 225),45.2689,-0.0865,0.19,7.95,5.42,5.2,7.11,Medium,8.45
True North ClassSr. B (ISC 286),30.487,-0.0583,0.19,7.93,5.41,5.19,7.07,Medium,7.41
American Disciplined EquitySr. B (ISC 283),21.1282,-0.1579,0.74,4.03,9.82,10.3,11.75,High,5.79
American Disciplined Equity ClassSr. B (ISC 272),20.9802,-0.157,0.74,4.01,9.79,10.28,11.68,High,5.63
American Disciplined Equity Currency Neutral ClassSr. B (ISC 1369),20.9383,-0.1222,0.58,0,8.29,5.88,0,High,8.78
American EquitySr. B (ISC 264),23.1719,-0.0915,0.39,12.8,9.42,11.72,11.95,High,5.83
American Equity ClassSr. B (ISC 2312),19.7212,-0.0779,0.39,12.79,9.41,11.74,0,High,12.79
American Equity Currency Neutral ClassSr. B (ISC 2637),15.1061,-0.0352,0.23,8.58,8,7.5,0,High,8.12
American Equity Systematic Currency HedgedSr. B (ISC 6794),10.1728,-0.0331,0.32,0,0,0,0,High,0
Event Driven OpportunitiesSr. B (ISC 2798),10.2794,-0.0647,0.63,-23.29,-0.19,0,0,High,4.44
Event Driven Opportunities ClassSr. B (ISC 2749),12.1643,-0.0766,0.63,-23.33,-0.24,0,0,High,4.49
Event Driven Opportunities Currency Neutral ClassSr. B (ISC 6085),7.611,-0.0439,0.57,-25.21,0,0,0,High,-12.59
Insights ClassSr. B (ISC 5491),14.1279,-0.1862,1.3,-1.13,0,0,0,High,14.08
Insights Currency Neutral ClassSr. B (ISC 5529),13.7013,-0.1585,1.14,-4.87,0,0,0,High,12.43
Insights Systematic Currency HedgedSr. B (ISC 6882),9.8731,-0.1232,1.23,0,0,0,0,High,0
Small Cap AmericaSr. B (ISC 261),73.6136,-0.4356,0.59,4.17,7.99,11.2,15.61,High,10.5
Small Cap America ClassSr. B (ISC 274),38.7926,-0.2298,0.59,4.16,7.98,11.19,15.51,High,7.86
Small Cap America Currency Neutral ClassSr. B (ISC 2655),14.5818,-0.0627,0.43,0.23,6.57,6.85,0,High,7.29
Small Cap America Systematic Currency HedgedSr. B (ISC 6814),9.6288,-0.0502,0.52,0,0,0,0,High,0
U.S. All CapSr. B (ISC 1497),19.2686,-0.0513,0.27,0.75,8.2,9.08,0,High,12.96
U.S. All Cap ClassSr. B (ISC 1600),20.1832,-0.0538,0.27,0.71,8.17,9.06,0,High,12.96
U.S. All Cap Currency Neutral ClassSr. B (ISC 2608),12.9489,-0.0173,0.13,-2.56,6.99,5.03,0,High,4.95
U.S. Div for Rising Rates Curr Neutral Index ETFTicker FCRH,24.6455,0.0784,0.32,0.7,0,0,0,High,0.72
U.S. DividendSr. B (ISC 966),19.8025,-0.0691,0.35,5.68,7.08,8.75,0,High,12.85
U.S. Dividend Currency NeutralSr. B (ISC 1138),15.5558,-0.0342,0.22,2.24,5.92,4.57,0,High,7.97
U.S. Dividend for Rising Rates Index ETFSr. B (ISC 4097),10.0695,-0.0242,0.24,3.57,0,0,0,High,2.99
U.S. Dividend for Rising Rates Index ETFTicker FCRR,25.4,-0.0475,0.19,5,0,0,0,High,4.15
U.S. Dividend RegisteredSr. B (ISC 1454),16.6591,-0.0581,0.35,6.1,7.45,9.17,0,High,12.35
U.S. Dividend Systematic Currency HedgedSr. B (ISC 6842),10.1855,-0.0289,0.28,0,0,0,0,High,0
U.S. Focused StockSr. B (ISC 234),53.1854,-0.5403,1.01,3.02,15.46,13.96,13.43,High,8.59
U.S. Focused Stock ClassSr. B (ISC 284),21.511,-0.2187,1.01,2.98,15.42,13.92,13.35,High,4.73
U.S. Focused Stock Currency Neutral ClassSr. B (ISC 2573),15.8106,-0.1344,0.84,-0.82,13.7,9.32,0,High,8.87
U.S. Focused Stock Systematic Currency HedgedSr. B (ISC 6862),10.0531,-0.0948,0.93,0,0,0,0,High,0
U.S. High Dividend Currency Neutral Index ETFSr. B (ISC 4094),9.522,0.0036,0.04,-1.39,0,0,0,High,-2.03
U.S. High Dividend Currency Neutral Index ETFTicker FCUH,24.2146,0.0766,0.32,0.58,0,0,0,High,0.36
U.S. High Dividend Index ETFSr. B (ISC 4089),9.8328,-0.0243,0.25,3.11,0,0,0,High,1.97
U.S. High Dividend Index ETFTicker FCUD,24.9118,-0.0649,0.26,4.71,0,0,0,High,3.6
U.S. High Quality Currency Neutral Index ETFSr. B (ISC 6539),11.4513,-0.0481,0.42,0,0,0,0,High,0
U.S. High Quality Currency Neutral Index ETFTicker FCQH,29.0044,0.117,0.41,0,0,0,0,High,0
U.S. High Quality Index ETFSr. B (ISC 6536),11.3357,-0.0712,0.62,0,0,0,0,High,0
U.S. High Quality Index ETFTicker FCUQ,28.9595,-0.0761,0.26,0,0,0,0,High,0
U.S. Low Volatility Currency Neutral Index ETFSr. B (ISC 6524),11.733,0.0183,0.16,0,0,0,0,High,0
U.S. Low Volatility Currency Neutral Index ETFTicker FCLH,29.6201,0.0701,0.24,0,0,0,0,High,0
U.S. Low Volatility Index ETFSr. B (ISC 6521),11.5747,-0.0043,0.04,0,0,0,0,High,0
U.S. Low Volatility Index ETFTicker FCUL,29.5698,-0.0446,0.15,0,0,0,0,High,0
US Dividend for Rising Rates Curr Neut Index ETFSr. B (ISC 4102),9.8223,-0.0203,0.21,-0.33,0,0,0,High,-0.38
Women's LeadershipSr. B (ISC 6680),10.1551,-0.0768,0.75,0,0,0,0,High,0
Women's Leadership Systematic Currency HedgedSr. B (ISC 6735),10.1907,-0.0703,0.69,0,0,0,0,High,0
CanAm Opportunities ClassSr. B (ISC 6557),11.0247,-0.1429,1.28,0,0,0,0,High,0
CanAm Opportunities Currency Neutral ClassSr. B (ISC 6589),11.0384,-0.1294,1.16,0,0,0,0,High,0
North American Equity ClassSr. B (ISC 3478),13.3747,-0.0889,0.66,5.26,9.75,0,0,High,8.18
